City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
172,Orbetello,IT,42.4408,11.2196,58.62,75,100,8.81,overcast clouds
173,Ancud,CL,-41.8697,-73.8203,62.13,67,33,8.21,scattered clouds
174,Hamilton,US,39.1834,-84.5333,42.6,45,1,1.99,clear sky
175,Akyab,MM,20.15,92.9,74.1,77,89,5.93,overcast clouds
176,Kavieng,PG,-2.5744,150.7967,83.48,77,98,14.12,overcast clouds
177,Saucillo,MX,28.0167,-105.2833,67.32,29,100,3.78,overcast clouds
178,Rawson,AR,-43.3002,-65.1023,53.74,50,60,18.05,broken clouds
179,Singaraja,ID,-8.112,115.0882,77.97,85,36,1.57,scattered clouds
180,Koutiala,ML,12.3917,-5.4642,81.64,16,10,8.95,clear sky
181,Otopeni,RO,44.55,26.0667,48.92,79,0,7.0,clear sky
182,Aksarka,RU,66.5606,67.7975,13.84,95,100,10.67,light snow
183,Kavaratti,IN,10.5669,72.642,80.55,78,62,6.93,broken clouds
184,Salinas,US,36.6777,-121.6555,79.56,29,1,14.97,clear sky
185,Alice Springs,AU,-23.7,133.8833,67.55,88,90,4.61,light intensity shower rain
186,Avarua,CK,-21.2078,-159.775,77.05,83,75,6.91,light intensity drizzle
187,Saint George,US,37.1041,-113.5841,66.34,21,1,4.0,clear sky
188,Sitka,US,57.0531,-135.33,42.69,61,90,17.27,light rain
189,Tuatapere,NZ,-46.1333,167.6833,54.81,61,37,1.28,scattered clouds
190,Namatanai,PG,-3.6667,152.4333,81.12,80,57,8.03,light rain
191,Coihaique,CL,-45.5752,-72.0662,62.55,39,40,10.36,scattered clouds
192,Chanika,TZ,-5.4167,38.0167,66.34,98,100,3.53,overcast clouds
193,Puerto Narino,CO,-3.7703,-70.3831,80.55,79,100,1.86,overcast clouds
194,San Isidro,PE,-12.1167,-77.05,69.01,79,90,1.99,overcast clouds
195,Puerto Escondido,MX,15.85,-97.0667,83.23,69,40,9.22,scattered clouds
196,Khatanga,RU,71.9667,102.5,-5.33,75,31,21.09,scattered clouds
197,Talnakh,RU,69.4865,88.3972,4.91,95,100,9.24,overcast clouds
198,Koson,UZ,39.0375,65.585,44.92,30,5,7.38,clear sky
199,Grand Junction,US,39.0639,-108.5507,58.33,31,1,1.99,clear sky
200,Auki,SB,-8.7676,160.7034,79.57,83,100,4.99,overcast clouds
201,Mehamn,NO,71.0357,27.8492,24.71,73,40,10.36,light snow
202,Zyryanka,RU,65.75,150.85,-28.23,100,88,4.63,overcast clouds
203,Las Vegas,US,36.175,-115.1372,67.73,16,1,0.0,clear sky
204,Fairbanks,US,64.8378,-147.7164,2.61,64,90,16.11,light snow
205,Airai,TL,-8.9266,125.4092,61.23,89,88,1.5,overcast clouds
206,Gobo,JP,33.8833,135.15,53.58,61,20,26.13,few clouds
207,Buala,SB,-8.145,159.5921,81.93,81,97,10.04,light rain
208,Ashqelon,IL,31.6693,34.5715,62.4,57,0,5.64,clear sky
209,Katsuura,JP,35.1333,140.3,57.18,85,100,10.65,overcast clouds
210,Grand Gaube,MU,-20.0064,57.6608,75.6,77,0,1.99,clear sky
211,Kloulklubed,PW,7.0419,134.2556,82.36,77,100,12.97,overcast clouds
212,College,US,64.8569,-147.8028,1.35,64,90,16.11,mist
213,Arroio Grande,BR,-32.2375,-53.0869,86.13,51,22,4.18,few clouds
214,Shimoda,JP,34.6667,138.95,52.11,62,100,21.68,overcast clouds
215,Nome,US,64.5011,-165.4064,10.47,40,1,11.5,clear sky
216,Alihe,CN,50.5667,123.7167,12.06,59,100,12.21,overcast clouds
217,Tatishchevo,RU,51.6703,45.5953,30.47,92,65,9.46,broken clouds
218,Verkhnevilyuysk,RU,63.4453,120.3167,-28.66,100,58,1.21,broken clouds
219,Yeppoon,AU,-23.1333,150.7333,65.98,80,83,4.0,broken clouds
220,Opuwo,NA,-18.0607,13.84,70.56,26,5,5.32,clear sky
221,Vadso,NO,70.0744,29.7487,30.15,79,20,20.71,few clouds
222,Xining,CN,36.6167,101.7667,25.5,37,0,2.1,clear sky
223,Bandarbeyla,SO,9.4942,50.8122,78.06,74,99,16.24,overcast clouds
224,Piacabucu,BR,-10.4056,-36.4344,79.61,79,67,13.0,broken clouds
225,Sao Mateus Do Maranhao,BR,-4.0417,-44.475,86.45,51,98,5.82,overcast clouds
226,Yagodnoye,RU,62.55,149.6667,-18.06,99,100,1.48,overcast clouds
227,Hualmay,PE,-11.0964,-77.6139,68.41,76,87,8.75,overcast clouds
228,Dzhuryn,UA,49.0329,25.5839,43.25,82,100,9.89,overcast clouds
229,Dali,CN,25.7,100.1833,45.55,94,14,1.7,few clouds
230,Kamaishi,JP,39.2667,141.8833,43.59,72,63,12.03,broken clouds
231,Tuktoyaktuk,CA,69.4541,-133.0374,-13.0,77,20,2.3,few clouds
232,Lavrentiya,RU,65.5833,-171.0,-2.81,94,8,8.72,clear sky
233,Carnarvon,AU,-24.8667,113.6333,64.47,68,0,14.97,clear sky
234,Santa Cruz,BO,-17.8,-63.1667,95.05,46,40,16.11,scattered clouds
235,Komsomolskiy,UZ,40.4272,71.7189,38.62,60,0,0.0,haze
236,Haikou,CN,20.0458,110.3417,66.33,82,75,11.18,broken clouds
237,Louis Trichardt,ZA,-23.0439,29.9032,65.25,96,100,1.63,light rain
238,Durango,MX,24.8333,-104.8333,66.61,41,99,6.67,overcast clouds
239,Balkanabat,TM,39.5108,54.3671,54.07,51,10,2.75,clear sky
240,Bulgan,MN,48.8125,103.5347,11.17,65,67,3.22,broken clouds
241,Kalga,RU,50.9251,118.898,-0.49,92,5,5.93,clear sky
242,Jequitinhonha,BR,-16.4339,-41.0033,69.53,92,99,2.91,overcast clouds
243,Tuxpan,MX,19.55,-103.4,76.77,32,41,4.32,scattered clouds
