City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
637,Balikpapan,ID,75.87,overcast clouds,-1.2675,116.8289,ibis Balikpapan
638,Nisia Floresta,BR,83.21,overcast clouds,-6.0911,-35.2086,Rancho Crepusculo
639,Madaripur,BD,70.03,clear sky,23.1753,90.2072,Government Madaripur College Student Hostel (Female)
640,Kishapu,TZ,77.16,overcast clouds,-3.6167,33.8667,Special seat Guest House
642,Manjeri,IN,77.68,mist,11.1167,76.1167,ITTC
650,Maun,BW,71.56,broken clouds,-19.9833,23.4167,Enviro Villa
655,Sharjah,AE,78.78,clear sky,25.3573,55.4033,Swiss Belhotel Sharjah
661,Pochutla,MX,88.83,broken clouds,15.7432,-96.4661,Hotel Posada San Jose
662,Boa Vista,BR,87.78,moderate rain,2.8197,-60.6733,Aipana Plaza Hotel
664,Thio,NC,76.96,overcast clouds,-21.6167,166.2167,La Ferme de Thio
665,Mangrol,IN,79.63,broken clouds,21.1167,70.1167,Hotel The Royal Honours
667,Lethem,GY,83.66,overcast clouds,3.3803,-59.7968,Savannah Inn
668,Cap Malheureux,MU,75.69,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
671,Riyadh,SA,71.74,scattered clouds,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
683,Bucerias,MX,84.18,scattered clouds,20.75,-105.3333,Royal Decameron Complex - Puerto Vallarta
684,Bilma,NE,77.23,clear sky,18.6853,12.9164,Expeditions Ténére voyages
688,Luanda,AO,80.6,scattered clouds,-8.8368,13.2343,Hotel Fórum
690,Tabou,CI,78.71,broken clouds,4.423,-7.3528,hotêl doufoulougou
691,Nieuw Amsterdam,SR,82.56,few clouds,5.8833,-55.0833,Hotel Stardust
692,Savannah Bight,HN,82.45,few clouds,16.45,-85.85,Villa on Dunbar Rock
693,Sinnamary,GF,80.47,scattered clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
694,Haapiti,PF,85.73,scattered clouds,-17.5667,-149.8667,Linareva Moorea Beach Resort
697,San Nicolas,PH,75.27,clear sky,18.1725,120.5953,NORTHVIEW Hotel
699,Kyaiklat,MM,79.07,broken clouds,16.4333,95.7333,Ayar San Girls Hostel
